
System accessed at: 2021-05-25 00:40:21, , , thread_name
admin,Connected to the admin system,2021-05-25 00:40:23,main
admin,Banker administrative side option selected: 1,2021-05-25 00:40:25,main
admin,Banker customer side option selected: 1,2021-05-25 00:40:27,main
admin,Banker customer side option selected: 13,2021-05-25 00:40:29,main
admin,Banker customer side option selected: 12,2021-05-25 00:40:31,main
admin,Banker customer side option selected: 3,2021-05-25 00:40:33,main
admin,Banker closed the system.,2021-05-25 00:40:33,main

System accessed at: 2021-05-25 16:57:25, , , thread_name
admin,Connected to the admin system,2021-05-25 16:57:29,main

System accessed at: 2021-05-25 16:58:10, , , thread_name
admin,Connected to the admin system,2021-05-25 16:58:13,main

System accessed at: 2021-05-25 17:04:14, , , thread_name
admin,Connected to the admin system,2021-05-25 17:04:17,main

System accessed at: 2021-05-25 17:07:57, , , thread_name
admin,Connected to the admin system,2021-05-25 17:08:00,main

System accessed at: 2021-05-25 17:09:41, , , thread_name
admin,Connected to the admin system,2021-05-25 17:09:43,main
admin,Banker administrative side option selected: 0,2021-05-25 17:09:45,main
admin,Banker closed the system.,2021-05-25 17:09:45,main

System accessed at: 2021-05-25 17:12:08, , , thread_name
admin,Connected to the admin system,2021-05-25 17:12:11,main
admin,Banker administrative side option selected: 0,2021-05-25 17:12:26,main
admin,Banker closed the system.,2021-05-25 17:12:26,main
unknown,Missed entry attempt.,2021-05-25 17:14:18,main

System accessed at: 2021-05-25 17:14:32, , , thread_name
admin,Connected to the admin system,2021-05-25 17:14:35,main
admin,Banker administrative side option selected: 0,2021-05-25 17:15:04,main
admin,Banker closed the system.,2021-05-25 17:15:04,main

System accessed at: 2021-05-25 17:15:34, , , thread_name
admin,Connected to the admin system,2021-05-25 17:15:36,main

System accessed at: 2021-05-25 17:15:48, , , thread_name
admin,Connected to the admin system,2021-05-25 17:15:51,main

System accessed at: 2021-05-25 17:17:31, , , thread_name
admin,Connected to the admin system,2021-05-25 17:17:33,main

System accessed at: 2021-05-25 17:27:01, , , thread_name
admin,Connected to the admin system,2021-05-25 17:27:08,main

System accessed at: 2021-05-25 17:30:53, , , thread_name
admin,Connected to the admin system,2021-05-25 17:30:56,main

System accessed at: 2021-05-25 17:31:48, , , thread_name
admin,Connected to the admin system,2021-05-25 17:31:51,main
admin,Banker administrative side option selected: 0,2021-05-25 17:33:19,main
admin,Banker closed the system.,2021-05-25 17:33:19,main

System accessed at: 2021-05-25 17:38:19, , , thread_name
admin,Connected to the admin system,2021-05-25 17:38:21,main

System accessed at: 2021-05-25 17:38:52, , , thread_name
admin,Connected to the admin system,2021-05-25 17:38:54,main

System accessed at: 2021-05-25 17:39:15, , , thread_name
admin,Connected to the admin system,2021-05-25 17:39:17,main

System accessed at: 2021-05-25 17:40:55, , , thread_name
admin,Connected to the admin system,2021-05-25 17:40:58,main

System accessed at: 2021-05-25 17:42:01, , , thread_name
admin,Connected to the admin system,2021-05-25 17:42:03,main

System accessed at: 2021-05-26 01:19:43, , , thread_name
admin,Connected to the admin system,2021-05-26 01:19:46,main

System accessed at: 2021-05-26 01:20:56, , , thread_name
admin,Connected to the admin system,2021-05-26 01:21:00,main
admin,Banker administrative side option selected: 0,2021-05-26 01:21:03,main
admin,Banker closed the system.,2021-05-26 01:21:03,main

System accessed at: 2021-05-26 01:21:23, , , thread_name
admin,Connected to the admin system,2021-05-26 01:21:26,main
admin,Banker administrative side option selected: 0,2021-05-26 01:21:28,main
admin,Banker closed the system.,2021-05-26 01:21:28,main

System accessed at: 2021-05-26 11:32:05, , , thread_name
admin,Connected to the admin system,2021-05-26 11:32:09,main
